date,y,e-classic,e-MAPE,V-classic,V-MAPE
23/04/2007,149229.87,146627.6399,147412.6994,148607.4101,148974.1875
24/04/2007,156768.378,151970.2329,152812.3618,152351.4632,152489.7485
25/04/2007,156248.827,153965.4562,153584.1311,153255.9336,154045.6625
26/04/2007,155878.709,153990.8604,153216.2052,151453.2807,151093.7661
27/04/2007,153288.531,153041.9392,151930.0242,150759.0761,151290.0942
28/04/2007,147278.755,147049.1663,145972.7322,144012.0349,144169.4538
29/04/2007,127534.102,129988.7752,128429.4196,127524.7588,127008.4169
30/04/2007,139263.038,146304.6099,144655.5071,142827.3791,143175.5263
01/05/2007,136087.874,135910.2573,137059.6009,139647.9061,139924.1796
02/05/2007,150405.094,154244.5105,155033.1611,153961.3557,154676.3852
03/05/2007,154797.108,154750.1855,155276.6876,153320.4592,152829.4215
04/05/2007,155627.426,155502.8469,154833.776,153855.8819,154178.258
05/05/2007,150156.047,150049.5284,149895.683,148218.689,148220.117
06/05/2007,134669.521,134581.0289,133499.474,132302.0942,131699.4658
07/05/2007,151742.661,150384.1584,149971.2952,147270.9641,147258.5548
08/05/2007,156974.517,155294.8784,155941.3855,152497.8836,152353.5113
09/05/2007,156601.596,155402.7634,155573.0725,154825.6497,155708.5264
10/05/2007,152427.41,152413.1239,153570.5313,155857.1958,156893.8686
11/05/2007,156312.523,156317.2015,155770.1824,155513.2034,155771.8094
12/05/2007,151877.009,151580.1101,151003.3733,149603.4895,148663.0373
13/05/2007,135733.438,135776.0573,134587.884,134158.4686,132184.4116
14/05/2007,151744.464,154214.2745,153555.7046,151351.1859,150154.4827
15/05/2007,158646.68,159737.5509,159864.1684,157005.1823,155881.908
16/05/2007,159597.834,160578.2924,160328.2454,158651.2155,158191.8617
17/05/2007,160203.67,160311.7882,160556.5983,158711.0062,157533.8732
18/05/2007,158839.418,158980.2216,158766.9703,159479.8513,159556.8168
19/05/2007,154669.331,151903.8653,152468.2006,154137.1712,154464.1802
20/05/2007,135908.494,137735.6794,136969.6395,138468.4879,138621.762
21/05/2007,153823.061,154721.0638,154716.7871,154700.4607,155778.3033
22/05/2007,160916.748,161138.6422,161476.2775,159856.006,161049.2915
23/05/2007,160778.778,161021.2894,160416.7589,160078.0225,161651.8701
24/05/2007,161064.777,160157.5883,159771.7962,158934.7522,159680.8349
25/05/2007,158818.562,158083.1788,157549.1348,158352.3212,159791.6047
26/05/2007,148142.079,149910.8595,149332.7707,151586.0804,152781.0859
27/05/2007,132029.7,132355.9405,131298.097,134379.3059,135067.7401
28/05/2007,148889.738,149237.3805,148833.2821,150599.3682,152156.6494
29/05/2007,153825.751,155363.6477,155076.9447,156200.3348,157640.2042
30/05/2007,153673.667,156060.6585,154929.4883,157096.83,158554.4804
31/05/2007,156314.996,156727.6392,155979.7942,157284.4511,157806.9337
01/06/2007,158141.8,158760.2603,159444.7769,161554.5577,163194.6438
02/06/2007,152330.368,152786.8651,153028.8499,155736.8917,157133.1341
03/06/2007,135491.921,137837.7046,137320.0804,138894.1166,139922.9092
04/06/2007,153434.384,153369.2142,153583.3727,154866.817,156265.7749
05/06/2007,158794.091,159352.5387,159967.0743,159494.2702,160680.6777
06/06/2007,158410.996,159731.117,159721.8941,158826.0378,159833.2957
07/06/2007,161591.143,160084.287,160371.9309,157756.006,157927.4824
08/06/2007,161171.172,157801.1,158273.9331,156541.2779,157027.2338
09/06/2007,150343.613,150370.5911,149831.5712,148937.1263,149322.0158
10/06/2007,131732.828,133888.4982,132876.7903,130698.5248,130926.8858
11/06/2007,149206.731,149868.2872,148841.0692,147249.815,148204.407
12/06/2007,155192.867,155488.2454,154653.1857,152777.7429,153872.7744
13/06/2007,156892.068,154963.3254,153752.9165,152700.6545,153692.0798
14/06/2007,157073.383,154099.7507,153516.2923,152809.4022,153344.9369
15/06/2007,151345.203,150884.7476,150254.7905,152301.5662,153412.3418
16/06/2007,144385.01,144498.2373,143358.1069,146115.0074,147349.5369
17/06/2007,129058.822,129863.4466,128159.223,128620.9395,130040.6179
18/06/2007,141698.752,145272.6202,143460.1165,145015.7795,146637.6093
19/06/2007,146195.381,150221.3051,149094.1524,149507.5828,151288.9345
20/06/2007,145822.789,148929.078,147138.5622,147777.6109,149379.5451
21/06/2007,144151.834,146979.2884,145880.8663,146570.6949,147964.5221
22/06/2007,142153.34,143436.2955,142939.6852,144435.8919,146240.8255
23/06/2007,135218.937,136171.6237,135384.0718,136703.1286,138463.6667
24/06/2007,122608.585,121008.7619,120121.4664,118123.204,119953.67
25/06/2007,137522.783,138526.7413,136605.3292,135644.3591,137525.9364
26/06/2007,143307.287,144337.1233,143128.0206,141617.1994,143592.1176
27/06/2007,142864.527,143710.0798,141993.9335,141037.9903,142470.2597
28/06/2007,140899.444,141980.3645,141260.1483,141623.1111,142811.3545
29/06/2007,137800.725,138906.6953,138654.0776,140854.3353,142364.5008
30/06/2007,131773.272,132906.2594,133041.2047,135018.4144,136705.3439
01/07/2007,119077.261,120236.483,118345.9789,117987.8106,120264.8304
02/07/2007,131771.178,136311.0486,133674.0271,135002.0831,136750.2561
03/07/2007,139695.274,140468.9432,138811.9985,139140.7294,141023.0028
04/07/2007,141961.279,138140.5226,134815.7692,136184.9915,137411.6895
05/07/2007,133559.876,134824.7829,132738.0944,134768.7856,136014.3105
06/07/2007,129230.279,130523.3366,130141.3914,131653.4923,133260.8542
07/07/2007,121567.397,122885.4565,122798.2438,124136.9553,125995.087
08/07/2007,107506.331,108853.7941,108634.7571,105708.6515,108112.7993
09/07/2007,127850.158,126781.0118,125095.6521,123030.2159,125412.8696
10/07/2007,130988.174,133443.1546,132209.2462,129857.6444,132595.8446
11/07/2007,127114.193,134107.0668,130757.7892,130288.231,132185.0122
12/07/2007,130072.169,134372.5127,131817.7969,133238.187,135254.7656
13/07/2007,130597.974,133496.2416,131944.2056,133755.859,135823.0677
14/07/2007,128958.89,130473.9065,128933.8949,130202.7645,132400.1198
15/07/2007,119862.4,121402.6509,119219.9406,115000.9443,117813.2414
16/07/2007,137891.54,137999.3015,135776.4957,133024.8529,135341.6705
17/07/2007,142653.714,144251.8968,143375.0027,140011.4347,142519.4406
18/07/2007,140881.104,142508.4713,140092.6343,138469.8709,139866.4814
19/07/2007,140089.68,141746.5658,140951.1338,140263.3315,141861.0133
